,divide a single physical object into constituent parts,divide a set of elements into groups,mark the boundary,isolate constituent parts of a non-physical object,put into containers,cause to move or be apart,distribute among others,distribute among themselves
English: divide,X,X,X,X,X,.,X,X
English: share,.,.,.,.,.,.,X,X
English: split,X,X,X,X,.,X,X,X
English: separate,.,X,X,X,X,X,.,.
English : allot,.,X,X,.,.,.,X,.
English : separate,X,.,.,.,X,X,X,.
English : scatter,.,.,.,.,.,X,X,X
French : répartir,.,.,X,.,X,.,X,X
Spanish : distribuir,.,X,.,.,X,X,X,X
French : séparer,.,.,X,.,X,X,.,.
French : dispatcher,.,.,X,.,.,X,X,X
English : Sort,X,X,.,.,X,.,X,.
English : share,.,X,X,.,X,X,X,X
English : allocate,.,X,X,.,X,X,X,.
French : dissocier,.,X,X,X,.,.,X,.
German : aufteilen,.,X,X,X,.,X,X,X
English : compartmentalize,.,X,X,X,X,.,X,.
English : categorize,.,X,X,X,X,.,X,X
English : chop,X,.,.,.,.,X,.,.
French : découper,X,.,.,.,.,.,X,X
French : disperser,X,.,.,.,.,X,X,X
English : partition,X,.,X,X,X,.,.,.
French : Répartir,X,.,.,.,X,X,X,X
Spanish : desmenuzar,X,.,.,X,X,X,.,.
English : cut,X,.,X,.,X,X,.,.
English : sever,X,.,X,.,.,X,X,.
Spanish : partir,X,.,X,.,.,X,X,X
Spanish : dividir,X,.,X,.,X,X,X,.
Spanish : Distribuir,X,.,X,.,X,.,X,X
Spanish : segregar,X,X,.,X,.,.,.,.
Italian : spartire,X,X,.,.,.,X,X,X
French : compartimenter,X,X,X,X,X,.,.,.
German : trennen,X,X,X,.,.,X,.,.
Spanish : segmentar,X,X,X,.,X,X,X,.
French : Classifier,X,X,X,.,X,X,X,X
